avg_price,critics_score,grape,grape_url,popularity,product_name,product_url,region,source_url
$29,96 / 100,Pinot Noir,https://www.wine-searcher.com/grape-384-pinot-noir,,Dom Pérignon Brut,https://www.wine-searcher.com/find/dom+perignon+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Christian Naude Tradition Brut,https://www.wine-searcher.com/find/christian+naude+tradition+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Achille Princier Grande Reserve Brut,https://www.wine-searcher.com/find/achillea+princiar+grand+rsrv+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,H. Blin 'Blin's Rose de Saignee' Extra Brut,https://www.wine-searcher.com/find/h+blin+rose+de+saignee+extra+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Gallimard Pere et Fils Les Meurgers Blanc de Noirs Extra Brut,https://www.wine-searcher.com/find/gallimard+pere+les+meurgers+blanc+de+noir+extra+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Andre Chemin Premier Cru Tradition Brut,https://www.wine-searcher.com/find/andre+chemin+premier+cru+tradition+brut+champagne+blanc+de+noir+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Mailly Blanc de Pinot Noir Grand Cru Brut,https://www.wine-searcher.com/find/mailly+blanc+de+pinot+noir+grand+cru+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
$29,96 / 100,Pinot Noir,https://www.wine-searcher.com/grape-384-pinot-noir,,Laherte FreresChampagne 7,https://www.wine-searcher.com/find/laherte+freres+les+seven+extra+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Louis Roederer Brut Rose Millesime,https://www.wine-searcher.com/find/louis+roederer+brut+rose+millesime+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Drappier Rose de Saignee Brut,https://www.wine-searcher.com/find/drappier+rose+de+saignee+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Andre Chemin Premier Cru Brut Rose,https://www.wine-searcher.com/find/andre+chemin+premier+cru+brut+rose+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Jean Lallement et Fils Reserve Grand Cru Brut Rose,https://www.wine-searcher.com/find/jean+lallement+rsrv+grand+cru+brut+rose+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Jean Vesselle Brut Rose de Saignee,https://www.wine-searcher.com/find/jean+vesselle+brut+rose+de+saignee+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Robert Moncuit Les Romarines Rose Grand Cru,https://www.wine-searcher.com/find/robert+moncuit+les+romarins+rose+grand+cru+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Deutz Vintage Rose,https://www.wine-searcher.com/find/deutz+vintage+rose+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Drappier Les Riceys Brut Nature Rose,https://www.wine-searcher.com/find/drappier+les+riceys+brut+nature+rose+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Varnier Fanniere Grand Cru Brut Rose,https://www.wine-searcher.com/find/varnier+fanniere+grand+cru+brut+rose+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
,,,,,Moutard Pere et Fils 'Dame Nesle' Cote des Bar Brut Rose,https://www.wine-searcher.com/find/moutard+pere+dame+nesle+cote+de+bar+brut+rose+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
$ 362,96 / 100,Chardonnay - Pinot Noir,https://www.wine-searcher.com/grape-1855-chardonnay-pinot-noir,20th in popularity,"Louis Roederer Cristal Millesime Brut, Champagne, France",https://www.wine-searcher.com/find/louis+roederer+cristal+millesime+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
$ 581,96 / 100,Champagne Blend,https://www.wine-searcher.com/grape-96-champagne-blend,31st in popularity,"Krug Vintage Brut, Champagne, France",https://www.wine-searcher.com/find/krug+vintage+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
"$ 1,356",96 / 100,Chardonnay,https://www.wine-searcher.com/grape-98-chardonnay,37th in popularity,"Salon Cuvee 'S' Le Mesnil Blanc de Blancs Brut, Champagne, France",https://www.wine-searcher.com/find/salon+cuvee+s+le+mesnil+blancdeblanc+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
$ 545,95 / 100,Champagne Blend,https://www.wine-searcher.com/grape-96-champagne-blend,41st in popularity,"Dom Perignon P2 Plenitude Brut, Champagne, France",https://www.wine-searcher.com/find/dom+perignon+p+two+plenitude+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
$ 227,95 / 100,Chardonnay,https://www.wine-searcher.com/grape-98-chardonnay,61st in popularity,"Taittinger Comtes de Champagne Blanc de Blancs Brut, Champagne, France",https://www.wine-searcher.com/find/taittinger+comte+de+brut+champagne+blancdeblanc+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
$ 197,94 / 100,Chardonnay - Pinot Noir,https://www.wine-searcher.com/grape-1855-chardonnay-pinot-noir,76th in popularity,"Bollinger La Grande Annee Brut, Champagne, France",https://www.wine-searcher.com/find/bollinger+la+grand+annee+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
$ 471,95 / 100,Champagne Blend,https://www.wine-searcher.com/grape-96-champagne-blend,82nd in popularity,"Dom Perignon Rose, Champagne, France",https://www.wine-searcher.com/find/dom+perignon+rose+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
"$ 2,136",96 / 100,Chardonnay,https://www.wine-searcher.com/grape-98-chardonnay,126th in popularity,"Krug Clos du Mesnil Blanc de Blancs Brut, Champagne, France",https://www.wine-searcher.com/find/krug+clos+du+mesnil+blancdeblanc+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
$ 338,95 / 100,Chardonnay - Pinot Noir,https://www.wine-searcher.com/grape-1855-chardonnay-pinot-noir,129th in popularity,"Bollinger R.D. Extra Brut, Champagne, France",https://www.wine-searcher.com/find/bollinger+r+d+extra+brut+champagne+france,Champagne,https://www.wine-searcher.com/regions-champagne?tab_F=mostpopular
